ID,Age,Category,Day,gender,tripduration
532,1955 - 1959,5,23,1,735.284866469
533,1955 - 1959,5,23,2,832.139534884
534,1955 - 1959,5,24,0,0.0
535,1955 - 1959,5,24,1,766.4386149
536,1955 - 1959,5,24,2,925.119631902
537,1955 - 1959,5,25,0,1187.0
538,1955 - 1959,5,25,1,678.435797665
539,1955 - 1959,5,25,2,706.445736434
540,1955 - 1959,5,26,0,805.6
541,1955 - 1959,5,26,1,721.620812545
542,1955 - 1959,5,26,2,869.650537634
543,1955 - 1959,5,27,0,481.714285714
544,1955 - 1959,5,27,1,689.955599735
545,1955 - 1959,5,27,2,815.113839286
546,1955 - 1959,5,28,0,791.428571429
547,1955 - 1959,5,28,1,701.884464752
548,1955 - 1959,5,28,2,785.292191436
549,1955 - 1959,5,29,0,754.0
550,1955 - 1959,5,29,1,720.481641469
551,1955 - 1959,5,29,2,824.751269036
552,1955 - 1959,5,30,0,430.25
553,1955 - 1959,5,30,1,789.583106267
554,1955 - 1959,5,30,2,793.414239482
555,1955 - 1959,5,31,0,869.0
556,1955 - 1959,5,31,1,758.650130548
557,1955 - 1959,5,31,2,822.700471698
558,1960 - 1964,6,01,0,758.222222222
559,1960 - 1964,6,01,1,693.257661748
560,1960 - 1964,6,01,2,761.649513213
561,1960 - 1964,6,02,0,997.25
562,1960 - 1964,6,02,1,601.529550827
563,1960 - 1964,6,02,2,1346.075
564,1960 - 1964,6,03,0,0.0
565,1960 - 1964,6,03,1,664.412454212
566,1960 - 1964,6,03,2,690.975555556
567,1960 - 1964,6,04,0,635.6
568,1960 - 1964,6,04,1,623.987511151
569,1960 - 1964,6,04,2,646.671296296
570,1960 - 1964,6,05,0,651.166666667
571,1960 - 1964,6,05,1,644.854731231
572,1960 - 1964,6,05,2,709.192792793
573,1960 - 1964,6,06,0,478.666666667
574,1960 - 1964,6,06,1,672.665874901
575,1960 - 1964,6,06,2,770.3203125
576,1960 - 1964,6,07,0,0.0
577,1960 - 1964,6,07,1,701.108695652
578,1960 - 1964,6,07,2,652.466101695
579,1960 - 1964,6,08,0,473.857142857
580,1960 - 1964,6,08,1,690.8301994,123
581,1960 - 1964,6,08,2,722.089595376
582,1960 - 1964,6,09,0,512.5
583,1960 - 1964,6,09,1,671.706521739
584,1960 - 1964,6,09,2,792.801192843
585,1960 - 1964,6,10,0,1129.66666667
586,1960 - 1964,6,10,1,665.288510638
587,1960 - 1964,6,10,2,743.4345898
588,1960 - 1964,6,11,0,620.0
589,1960 - 1964,6,11,1,731.700539568
590,1960 - 1964,6,11,2,795.961620469
591,1960 - 1964,6,12,0,605.25
592,1960 - 1964,6,12,1,680.875680581
593,1960 - 1964,6,12,2,775.557627119
594,1960 - 1964,6,13,0,759.0
595,1960 - 1964,6,13,1,640.778916545
596,1960 - 1964,6,13,2,648.268370607
597,1960 - 1964,6,14,0,1336.75
598,1960 - 1964,6,14,1,675.880497132
599,1960 - 1964,6,14,2,712.12849162
600,1960 - 1964,6,15,0,436.0
601,1960 - 1964,6,15,1,710.756959788
602,1960 - 1964,6,15,2,691.985645933
603,1960 - 1964,6,16,0,820.5
604,1960 - 1964,6,16,1,672.510314342
605,1960 - 1964,6,16,2,717.543520309
606,1960 - 1964,6,17,0,201.0
607,1960 - 1964,6,17,1,681.097366321
608,1960 - 1964,6,17,2,791.735555556
609,1960 - 1964,6,18,0,662.0
610,1960 - 1964,6,18,1,650.861333333
611,1960 - 1964,6,18,2,1368.61734694
612,1960 - 1964,6,19,0,373.75
613,1960 - 1964,6,19,1,661.855885079
614,1960 - 1964,6,19,2,776.617647059
615,1960 - 1964,6,20,0,206.0
616,1960 - 1964,6,20,1,642.642962963
617,1960 - 1964,6,20,2,708.442495127
618,1960 - 1964,6,21,0,244.0
619,1960 - 1964,6,21,1,616.143884892
620,1960 - 1964,6,21,2,972.551724138
621,1960 - 1964,6,22,0,366.0
622,1960 - 1964,6,22,1,724.398368883
623,1960 - 1964,6,22,2,797.884057971
624,1960 - 1964,6,23,0,208.6
625,1960 - 1964,6,23,1,706.429931973
626,1960 - 1964,6,23,2,734.988074957
627,1960 - 1964,6,24,0,1646.4
628,1960 - 1964,6,24,1,738.238751814
629,1960 - 1964,6,24,2,794.473484848
630,1960 - 1964,6,25,0,1064.5
